id,therapist_name,gender,modality,language,available_days,mode,experience_years,specialties
119,Dr. Tewodros Kebede,Male,Integrative Counselling,['Tigrinya'],"['Monday', 'Thursday', 'Wednesday', 'Friday', 'Tuesday']","['Audio', 'Video']",9,"['Relationships', 'Somatic Complaints', 'Family Conflict']"
120,Dr. Selamawit Teshome,Male,Cognitive Analytic Therapy (CAT),['Amharic'],"['Monday', 'Saturday', 'Sunday', 'Friday', 'Wednesday']","['Audio', 'Video']",4,"['Generalized Anxiety Disorder (GAD)', 'Trauma', 'BPD']"
121,Dr. Endale Gebre,Female,Transactional Analysis (TA),['Oromo'],"['Tuesday', 'Sunday', 'Saturday', 'Thursday', 'Monday']","['Audio', 'Video']",10,"['Mood Disorders', 'Substance Use', 'Anxiety']"
122,Dr. Tigist Melaku,Female,Psychoanalysis,['Tigrinya'],"['Tuesday', 'Wednesday', 'Saturday', 'Sunday', 'Monday']","['Audio', 'Video']",15,"['Academic Burnout', 'Academic Burnout', 'Interpersonal Violence']"
123,Dr. Yohannes Adisu,Female,Interpersonal Psychotherapy (IPT),['English'],"['Sunday', 'Thursday', 'Tuesday', 'Saturday', 'Friday']","['Video', 'Audio']",6,"['Family Conflict', 'PTSD', 'Substance Use']"
124,Dr. Hiwot Fantahun,Male,Dialectical Behavior Therapy (DBT),['Tigrinya'],"['Friday', 'Sunday', 'Thursday', 'Monday', 'Saturday']","['Audio', 'Video']",1,"['Trauma', 'Substance Use', 'Test Anxiety']"
125,Dr. Gizachew Negash,Female,Gestalt Therapy,['Tigrinya'],"['Wednesday', 'Saturday', 'Sunday', 'Tuesday', 'Thursday']","['Video', 'Audio']",7,"['Family Conflict', 'Substance Use', 'Depression']"
126,Dr. Meseret Aklilu,Male,Cognitive Behavioral Therapy (CBT),['Oromo'],"['Monday', 'Tuesday', 'Wednesday', 'Saturday', 'Thursday']","['Video', 'Audio']",5,"['Mood Disorders', 'Self-Esteem Issues', 'Stress']"
127,Dr. Natnael Bekele,Male,Interpersonal Psychotherapy (IPT),['Tigrinya'],"['Thursday', 'Saturday', 'Sunday', 'Tuesday', 'Monday']","['Audio', 'Video']",5,"['Panic Disorders', 'OCD', 'Somatic Complaints']"
128,Dr. Aster Zewdu,Male,Dialectical Behavior Therapy (DBT),['Oromo'],"['Tuesday', 'Friday', 'Saturday', 'Sunday', 'Wednesday']","['Video', 'Audio']",19,"['PTSD', 'Self-Esteem Issues', 'Test Anxiety']"
129,Dr. Ephrem Tadesse,Male,Cognitive Analytic Therapy (CAT),['Oromo'],"['Monday', 'Friday', 'Tuesday', 'Thursday', 'Sunday']","['Video', 'Audio']",9,"['Cultural Identity Stress', 'Adjustment Disorders', 'Somatic Complaints']"
130,Dr. Senait Alebachew,Male,Mindfulness-Based Cognitive Therapy (MBCT),['Amharic'],"['Sunday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']","['Video', 'Audio']",5,"['Financial Stress', 'Generalized Anxiety Disorder (GAD)', 'Stress']"
131,Dr. Dawit Mekuria,Male,Psychoanalysis,['Oromo'],"['Tuesday', 'Monday', 'Thursday', 'Friday', 'Saturday']","['Video', 'Audio']",17,"['Adjustment Disorders', 'Anxiety', 'OCD']"
132,Dr. Lulit Tewodros,Female,Acceptance and Commitment Therapy (ACT),['Oromo'],"['Wednesday', 'Sunday', 'Thursday', 'Tuesday', 'Friday']","['Audio', 'Video']",6,"['Self-Esteem Issues', 'Stress', 'BPD']"
133,Dr. Zelalem Berihun,Female,Schema Therapy,['English'],"['Sunday', 'Thursday', 'Monday', 'Saturday', 'Tuesday']","['Video', 'Audio']",7,"['PTSD', 'BPD', 'Eating Disorders']"
134,Dr. Bethelhem Ashenafi,Female,Solution-Focused Brief Therapy (SFBT),['Amharic'],"['Friday', 'Tuesday', 'Sunday', 'Monday', 'Wednesday']","['Video', 'Audio']",13,"['Generalized Anxiety Disorder (GAD)', 'ADHD', 'Grief and Loss']"
135,Dr. Tamrat Hailu,Male,Cognitive Behavioral Therapy (CBT),['Amharic'],"['Saturday', 'Friday', 'Monday', 'Thursday', 'Tuesday']","['Audio', 'Video']",7,"['Mood Disorders', 'Cultural Identity Stress', 'Interpersonal Violence']"
136,Dr. Rahel Belete,Male,Jungian Therapy,['Tigrinya'],"['Thursday', 'Monday', 'Tuesday', 'Wednesday', 'Saturday']","['Video', 'Audio']",12,"['Self-Esteem Issues', 'Relationships', 'Mood Disorders']"
137,Dr. Samuel Tadese,Male,Cognitive Analytic Therapy (CAT),['English'],"['Monday', 'Thursday', 'Saturday', 'Wednesday', 'Friday']","['Audio', 'Video']",4,"['Family Conflict', 'Depression', 'Financial Stress']"
138,Dr. Fikerte Kassa,Female,Solution-Focused Brief Therapy (SFBT),['Oromo'],"['Tuesday', 'Monday', 'Wednesday', 'Thursday', 'Saturday']","['Audio', 'Video']",1,"['Eating Disorders', 'Loneliness', 'Financial Stress']"
139,Dr. Elias Mengistu,Male,Person-Centred Therapy,['English'],"['Saturday', 'Monday', 'Sunday', 'Thursday', 'Tuesday']","['Video', 'Audio']",2,"['Loneliness', 'BPD', 'Generalized Anxiety Disorder (GAD)']"
140,Dr. Zewditu Gebrekidan,Female,Person-Centred Therapy,['Oromo'],"['Monday', 'Thursday', 'Tuesday', 'Friday', 'Saturday']","['Audio', 'Video']",11,"['Academic Burnout', 'Generalized Anxiety Disorder (GAD)', 'Somatic Complaints']"
141,Dr. Abiyot Workneh,Female,Existential Psychotherapy,['English'],"['Tuesday', 'Monday', 'Sunday', 'Friday', 'Saturday']","['Audio', 'Video']",3,"['Anxiety', 'Social Anxiety', 'Somatic Complaints']"
142,Dr. Saron Kidane,Female,Emotionally Focused Therapy (EFT),['English'],"['Sunday', 'Saturday', 'Wednesday', 'Thursday', 'Monday']","['Video', 'Audio']",15,"['Self-Esteem Issues', 'Academic Burnout', 'Self-Esteem Issues']"
143,Dr. Kebede Belay,Male,Cognitive Analytic Therapy (CAT),['English'],"['Friday', 'Wednesday', 'Sunday', 'Saturday', 'Tuesday']","['Audio', 'Video']",9,"['Trauma', 'Test Anxiety', 'Loneliness']"
144,Dr. Gelila Endale,Male,Person-Centred Therapy,['English'],"['Thursday', 'Saturday', 'Monday', 'Friday', 'Sunday']","['Video', 'Audio']",6,"['Anxiety', 'Interpersonal Violence', 'Anxiety']"
145,Dr. Amare Demissie,Female,Narrative Therapy,['English'],"['Saturday', 'Friday', 'Sunday', 'Tuesday', 'Thursday']","['Video', 'Audio']",16,"['Interpersonal Violence', 'Grief and Loss', 'Sleep Disorders']"
146,Dr. Feven Tadese,Female,Jungian Therapy,['Amharic'],"['Tuesday', 'Thursday', 'Wednesday', 'Friday', 'Sunday']","['Video', 'Audio']",8,"['Substance Use', 'Panic Disorders', 'ADHD']"
147,Dr. Tewodros Ashenafi,Female,Gestalt Therapy,['Tigrinya'],"['Sunday', 'Friday', 'Wednesday', 'Saturday', 'Monday']","['Video', 'Audio']",5,"['Sleep Disorders', 'Interpersonal Violence', 'Interpersonal Violence']"
148,Dr. Hiwot Berihun,Male,Existential Psychotherapy,['English'],"['Thursday', 'Friday', 'Monday', 'Saturday', 'Tuesday']","['Audio', 'Video']",11,"['Relationships', 'Somatic Complaints', 'Mood Disorders']"
149,Dr. Getachew Lemma,Male,Integrative Counselling,['English'],"['Wednesday', 'Friday', 'Saturday', 'Monday', 'Tuesday']","['Video', 'Audio']",8,"['PTSD', 'Mood Disorders', 'Self-Esteem Issues']"
150,Dr. Meron Mulugeta,Male,Gestalt Therapy,['Amharic'],"['Tuesday', 'Friday', 'Monday', 'Thursday', 'Saturday']","['Video', 'Audio']",3,"['Social Anxiety', 'Grief and Loss', 'Sleep Disorders']"
151,Dr. Dagmawi Aklilu,Female,Schema Therapy,['Amharic'],"['Friday', 'Tuesday', 'Thursday', 'Wednesday', 'Monday']","['Audio', 'Video']",8,"['Grief and Loss', 'Loneliness', 'Financial Stress']"
152,Dr. Tinsae Habte,Female,Psychodynamic Psychotherapy,['Amharic'],"['Monday', 'Friday', 'Thursday', 'Saturday', 'Tuesday']","['Video', 'Audio']",15,"['Panic Disorders', 'ADHD', 'Test Anxiety']"
153,Dr. Taye Sisay,Female,Mindfulness-Based Cognitive Therapy (MBCT),['Amharic'],"['Monday', 'Thursday', 'Saturday', 'Friday', 'Tuesday']","['Audio', 'Video']",18,"['Loneliness', 'Family Conflict', 'Eating Disorders']"
154,Dr. Saba Zewdu,Female,Cognitive Analytic Therapy (CAT),['Tigrinya'],"['Saturday', 'Tuesday', 'Monday', 'Sunday', 'Friday']","['Audio', 'Video']",19,"['Suicidal Ideation', 'Stress', 'Self-Esteem Issues']"
155,Dr. Fisseha Tsegaye,Female,Dialectical Behavior Therapy (DBT),['Oromo'],"['Friday', 'Wednesday', 'Saturday', 'Monday', 'Sunday']","['Audio', 'Video']",1,"['Mood Disorders', 'Self-Esteem Issues', 'OCD']"
156,Dr. Mekdes Haile,Female,Existential Psychotherapy,['Oromo'],"['Saturday', 'Friday', 'Sunday', 'Monday', 'Tuesday']","['Audio', 'Video']",10,"['Test Anxiety', 'Trauma', 'Cultural Identity Stress']"
157,Dr. Biniyam Abebe,Female,Gestalt Therapy,['English'],"['Friday', 'Saturday', 'Wednesday', 'Monday', 'Thursday']","['Video', 'Audio']",13,"['Cultural Identity Stress', 'Depression', 'Panic Disorders']"
158,Dr. Selamawit Gebre,Female,Adlerian Therapy,['Amharic'],"['Tuesday', 'Thursday', 'Saturday', 'Monday', 'Wednesday']","['Video', 'Audio']",16,"['Suicidal Ideation', 'Eating Disorders', 'Stress']"
159,Dr. Gidey Yohannes,Male,Person-Centred Therapy,['Tigrinya'],"['Monday', 'Saturday', 'Sunday', 'Friday', 'Wednesday']","['Audio', 'Video']",13,"['Panic Disorders', 'Somatic Complaints', 'Depression']"
160,Dr. Liya Tewodros,Female,Transactional Analysis (TA),['Tigrinya'],"['Monday', 'Wednesday', 'Saturday', 'Thursday', 'Friday']","['Audio', 'Video']",17,"['Cultural Identity Stress', 'Depression', 'Trauma']"
161,Dr. Netsanet Alemu,Male,Transactional Analysis (TA),['Tigrinya'],"['Monday', 'Friday', 'Saturday', 'Sunday', 'Wednesday']","['Audio', 'Video']",2,"['Adjustment Disorders', 'BPD', 'BPD']"
162,Dr. Yohannes Bekele,Male,Dialectical Behavior Therapy (DBT),['Oromo'],"['Thursday', 'Sunday', 'Saturday', 'Monday', 'Friday']","['Video', 'Audio']",11,"['Loneliness', 'Cultural Identity Stress', 'Trauma']"
163,Dr. Alazar Solomon,Male,Jungian Therapy,['Tigrinya'],"['Saturday', 'Friday', 'Tuesday', 'Wednesday', 'Sunday']","['Video', 'Audio']",5,"['Suicidal Ideation', 'Stress', 'Generalized Anxiety Disorder (GAD)']"
164,Dr. Wubet Gebremichael,Male,Solution-Focused Brief Therapy (SFBT),['Tigrinya'],"['Tuesday', 'Sunday', 'Saturday', 'Friday', 'Wednesday']","['Audio', 'Video']",8,"['Stress', 'Loneliness', 'Relationships']"
165,Dr. Eyob Asfaw,Male,Narrative Therapy,['Tigrinya'],"['Sunday', 'Wednesday', 'Friday', 'Saturday', 'Tuesday']","['Audio', 'Video']",14,"['Panic Disorders', 'Trauma', 'PTSD']"
166,Dr. Tsion Bekele,Female,Person-Centred Therapy,['Tigrinya'],"['Wednesday', 'Sunday', 'Saturday', 'Thursday', 'Tuesday']","['Video', 'Audio']",10,"['Loneliness', 'Grief and Loss', 'Trauma']"
167,Dr. Habtamu Haile,Male,Gestalt Therapy,['Oromo'],"['Thursday', 'Saturday', 'Tuesday', 'Friday', 'Monday']","['Video', 'Audio']",8,"['Grief and Loss', 'Depression', 'BPD']"
168,Dr. Aster Negash,Male,Solution-Focused Brief Therapy (SFBT),['Amharic'],"['Friday', 'Wednesday', 'Tuesday', 'Monday', 'Thursday']","['Audio', 'Video']",12,"['Test Anxiety', 'Adjustment Disorders', 'OCD']"
169,Dr. Million Yohannes,Male,Adlerian Therapy,['Oromo'],"['Monday', 'Thursday', 'Tuesday', 'Sunday', 'Wednesday']","['Video', 'Audio']",2,"['Self-Esteem Issues', 'Family Conflict', 'Relationships']"
170,Dr. Mahlet Getachew,Male,Transactional Analysis (TA),['English'],"['Tuesday', 'Thursday', 'Wednesday', 'Sunday', 'Monday']","['Audio', 'Video']",8,"['Eating Disorders', 'Somatic Complaints', 'OCD']"
171,Dr. Amanuel Abebe,Female,Transactional Analysis (TA),['English'],"['Thursday', 'Wednesday', 'Tuesday', 'Sunday', 'Saturday']","['Video', 'Audio']",13,"['Academic Burnout', 'Self-Esteem Issues', 'Somatic Complaints']"
172,Dr. Kidist Belay,Male,Psychoanalysis,['English'],"['Tuesday', 'Wednesday', 'Saturday', 'Thursday', 'Sunday']","['Audio', 'Video']",12,"['Social Anxiety', 'Eating Disorders', 'Trauma']"
173,Dr. Dawit Bekele,Female,Adlerian Therapy,['Amharic'],"['Monday', 'Tuesday', 'Sunday', 'Saturday', 'Thursday']","['Video', 'Audio']",16,"['Financial Stress', 'Panic Disorders', 'Academic Burnout']"
174,Dr. Birtukan Tamrat,Male,Gestalt Therapy,['Oromo'],"['Sunday', 'Monday', 'Friday', 'Thursday', 'Wednesday']","['Video', 'Audio']",5,"['Family Conflict', 'Financial Stress', 'Social Anxiety']"
175,Dr. Tilahun Negash,Male,Acceptance and Commitment Therapy (ACT),['Oromo'],"['Monday', 'Sunday', 'Friday', 'Thursday', 'Tuesday']","['Audio', 'Video']",1,"['Somatic Complaints', 'ADHD', 'Anxiety']"
176,Dr. Eden Belay,Male,Psychodynamic Psychotherapy,['Tigrinya'],"['Sunday', 'Saturday', 'Wednesday', 'Thursday', 'Friday']","['Audio', 'Video']",3,"['Interpersonal Violence', 'Adjustment Disorders', 'Eating Disorders']"
177,Dr. Samson Bekele,Male,Acceptance and Commitment Therapy (ACT),['English'],"['Friday', 'Wednesday', 'Sunday', 'Tuesday', 'Thursday']","['Video', 'Audio']",17,"['Mood Disorders', 'Test Anxiety', 'Adjustment Disorders']"
178,Dr. Yodit Alemu,Male,Dialectical Behavior Therapy (DBT),['English'],"['Thursday', 'Saturday', 'Sunday', 'Tuesday', 'Monday']","['Video', 'Audio']",17,"['Test Anxiety', 'Sleep Disorders', 'Social Anxiety']"
179,Dr. Gadissa Dereje,Female,Cognitive Behavioral Therapy (CBT),['Amharic'],"['Monday', 'Saturday', 'Wednesday', 'Friday', 'Tuesday']","['Video', 'Audio']",15,"['Anxiety', 'BPD', 'ADHD']"
180,Dr. Genet Taye,Male,Gestalt Therapy,['Tigrinya'],"['Tuesday', 'Saturday', 'Wednesday', 'Sunday', 'Monday']","['Video', 'Audio']",3,"['Mood Disorders', 'Suicidal Ideation', 'Grief and Loss']"
181,Dr. Misgana Tesfaye,Female,Dialectical Behavior Therapy (DBT),['Amharic'],"['Saturday', 'Monday', 'Tuesday', 'Friday', 'Thursday']","['Audio', 'Video']",8,"['Social Anxiety', 'Family Conflict', 'Self-Esteem Issues']"
182,Dr. Lalise Mekonnen,Male,Person-Centred Therapy,['English'],"['Thursday', 'Wednesday', 'Tuesday', 'Sunday', 'Saturday']","['Video', 'Audio']",14,"['Panic Disorders', 'Interpersonal Violence', 'Suicidal Ideation']"
183,Dr. Abdi Alebachew,Male,Psychoanalysis,['English'],"['Monday', 'Thursday', 'Friday', 'Wednesday', 'Tuesday']","['Audio', 'Video']",4,"['Cultural Identity Stress', 'Substance Use', 'OCD']"
184,Dr. Hana Tadese,Male,Transactional Analysis (TA),['Oromo'],"['Tuesday', 'Wednesday', 'Friday', 'Monday', 'Sunday']","['Video', 'Audio']",5,"['Panic Disorders', 'ADHD', 'Social Anxiety']"
185,Dr. Girum Gebre,Male,Cognitive Therapy,['Tigrinya'],"['Thursday', 'Saturday', 'Wednesday', 'Friday', 'Monday']","['Audio', 'Video']",3,"['Stress', 'Test Anxiety', 'Test Anxiety']"
186,Dr. Beza Ashenafi,Female,Cognitive Behavioral Therapy (CBT),['English'],"['Saturday', 'Friday', 'Thursday', 'Sunday', 'Monday']","['Audio', 'Video']",9,"['Mood Disorders', 'Suicidal Ideation', 'Mood Disorders']"
187,Dr. Semere Kebede,Female,Acceptance and Commitment Therapy (ACT),['Amharic'],"['Friday', 'Sunday', 'Wednesday', 'Thursday', 'Tuesday']","['Video', 'Audio']",3,"['Test Anxiety', 'Adjustment Disorders', 'Substance Use']"
188,Dr. Marta Berhanu,Male,Adlerian Therapy,['Amharic'],"['Thursday', 'Wednesday', 'Sunday', 'Friday', 'Tuesday']","['Video', 'Audio']",18,"['Anxiety', 'Adjustment Disorders', 'Suicidal Ideation']"
189,Dr. Tsegaye Mekuria,Female,Person-Centred Therapy,['Tigrinya'],"['Thursday', 'Wednesday', 'Sunday', 'Monday', 'Saturday']","['Audio', 'Video']",17,"['Social Anxiety', 'Financial Stress', 'Substance Use']"
190,Dr. Senait Desta,Female,Narrative Therapy,['Tigrinya'],"['Tuesday', 'Monday', 'Saturday', 'Wednesday', 'Sunday']","['Video', 'Audio']",8,"['Somatic Complaints', 'Depression', 'Social Anxiety']"
191,Dr. Eyoel Tadesse,Male,Person-Centred Therapy,['English'],"['Thursday', 'Wednesday', 'Saturday', 'Friday', 'Tuesday']","['Audio', 'Video']",4,"['Substance Use', 'Self-Esteem Issues', 'Family Conflict']"
192,Dr. Mihretu Teshome,Male,Acceptance and Commitment Therapy (ACT),['Tigrinya'],"['Friday', 'Saturday', 'Sunday', 'Tuesday', 'Thursday']","['Audio', 'Video']",17,"['Test Anxiety', 'Adjustment Disorders', 'Generalized Anxiety Disorder (GAD)']"
193,Dr. Kassahun Worku,Female,Adlerian Therapy,['Tigrinya'],"['Friday', 'Monday', 'Tuesday', 'Saturday', 'Sunday']","['Video', 'Audio']",1,"['Somatic Complaints', 'Loneliness', 'Sleep Disorders']"
194,Dr. Tizita Hailu,Female,Mindfulness-Based Cognitive Therapy (MBCT),['Tigrinya'],"['Friday', 'Tuesday', 'Thursday', 'Wednesday', 'Saturday']","['Video', 'Audio']",11,"['PTSD', 'Cultural Identity Stress', 'Cultural Identity Stress']"
195,Dr. Arsema Tsegaye,Female,Acceptance and Commitment Therapy (ACT),['Oromo'],"['Thursday', 'Saturday', 'Wednesday', 'Tuesday', 'Friday']","['Audio', 'Video']",19,"['Somatic Complaints', 'Stress', 'Somatic Complaints']"
196,Dr. Nega Alemu,Male,Schema Therapy,['English'],"['Thursday', 'Friday', 'Wednesday', 'Monday', 'Saturday']","['Video', 'Audio']",7,"['Interpersonal Violence', 'Adjustment Disorders', 'BPD']"
197,Dr. Yidnekachew Gebre,Male,Psychoanalysis,['Tigrinya'],"['Saturday', 'Thursday', 'Friday', 'Tuesday', 'Wednesday']","['Audio', 'Video']",9,"['Trauma', 'Test Anxiety', 'Financial Stress']"
198,Dr. Frehiwot Bekele,Female,Integrative Counselling,['Oromo'],"['Tuesday', 'Wednesday', 'Friday', 'Saturday', 'Thursday']","['Audio', 'Video']",13,"['Family Conflict', 'Financial Stress', 'Substance Use']"
199,Dr. Mussie Tewodros,Male,Person-Centred Therapy,['English'],"['Saturday', 'Wednesday', 'Thursday', 'Monday', 'Tuesday']","['Video', 'Audio']",14,"['Anxiety', 'Stress', 'Cultural Identity Stress']"
200,Dr. Betelhem Alemu,Female,Cognitive Behavioral Therapy (CBT),['Amharic'],"['Saturday', 'Wednesday', 'Thursday', 'Tuesday', 'Sunday']","['Audio', 'Video']",19,"['Academic Burnout', 'Social Anxiety', 'Academic Burnout']"
201,Dr. Simeon Berihun,Male,Adlerian Therapy,['Tigrinya'],"['Wednesday', 'Sunday', 'Saturday', 'Thursday', 'Tuesday']","['Video', 'Audio']",14,"['Mood Disorders', 'Adjustment Disorders', 'Cultural Identity Stress']"
202,Dr. Lidya Abebe,Male,Gestalt Therapy,['English'],"['Thursday', 'Monday', 'Wednesday', 'Friday', 'Saturday']","['Audio', 'Video']",8,"['Somatic Complaints', 'BPD', 'Sleep Disorders']"
203,Dr. Adanech Tadesse,Male,Cognitive Behavioral Therapy (CBT),['Oromo'],"['Wednesday', 'Friday', 'Thursday', 'Saturday', 'Tuesday']","['Video', 'Audio']",4,"['Financial Stress', 'Interpersonal Violence', 'Trauma']"
204,Dr. Tewabech Kebede,Female,Existential Psychotherapy,['Tigrinya'],"['Thursday', 'Monday', 'Sunday', 'Wednesday', 'Friday']","['Video', 'Audio']",2,"['Relationships', 'Social Anxiety', 'OCD']"
205,Dr. Fikadu Bekele,Female,Interpersonal Psychotherapy (IPT),['Oromo'],"['Monday', 'Tuesday', 'Thursday', 'Saturday', 'Friday']","['Audio', 'Video']",19,"['Interpersonal Violence', 'Panic Disorders', 'Somatic Complaints']"
206,Dr. Gebeyaw Alemu,Male,Cognitive Analytic Therapy (CAT),['Tigrinya'],"['Monday', 'Friday', 'Thursday', 'Saturday', 'Sunday']","['Audio', 'Video']",13,"['Self-Esteem Issues', 'Trauma', 'Family Conflict']"
207,Dr. Werkinesh Berhanu,Female,Schema Therapy,['Tigrinya'],"['Monday', 'Saturday', 'Tuesday', 'Thursday', 'Wednesday']","['Audio', 'Video']",8,"['Somatic Complaints', 'Depression', 'Family Conflict']"
208,Dr. Yonas Tsegaye,Male,Transactional Analysis (TA),['Amharic'],"['Monday', 'Tuesday', 'Saturday', 'Friday', 'Sunday']","['Video', 'Audio']",6,"['Financial Stress', 'Suicidal Ideation', 'Mood Disorders']"
209,Dr. Ayelech Mekonnen,Female,Acceptance and Commitment Therapy (ACT),['Oromo'],"['Monday', 'Saturday', 'Friday', 'Tuesday', 'Wednesday']","['Video', 'Audio']",15,"['Family Conflict', 'Self-Esteem Issues', 'Financial Stress']"
210,Dr. Teshome Gebre,Male,Cognitive Therapy,['Amharic'],"['Saturday', 'Monday', 'Wednesday', 'Sunday', 'Thursday']","['Video', 'Audio']",15,"['Grief and Loss', 'Suicidal Ideation', 'Test Anxiety']"
211,Dr. Romanwork Hailu,Male,Adlerian Therapy,['English'],"['Wednesday', 'Thursday', 'Friday', 'Tuesday', 'Sunday']","['Audio', 'Video']",8,"['Relationships', 'Academic Burnout', 'Adjustment Disorders']"
212,Dr. Gedion Bekele,Female,Person-Centred Therapy,['Tigrinya'],"['Monday', 'Tuesday', 'Sunday', 'Wednesday', 'Thursday']","['Video', 'Audio']",7,"['Anxiety', 'Adjustment Disorders', 'Depression']"
213,Dr. Tsehaynesh Alemu,Male,Psychodynamic Psychotherapy,['Tigrinya'],"['Thursday', 'Tuesday', 'Saturday', 'Friday', 'Sunday']","['Audio', 'Video']",2,"['Trauma', 'Test Anxiety', 'OCD']"
214,Dr. Birhanu Tesfaye,Female,Cognitive Therapy,['Tigrinya'],"['Thursday', 'Monday', 'Saturday', 'Tuesday', 'Wednesday']","['Video', 'Audio']",3,"['Stress', 'Interpersonal Violence', 'ADHD']"
215,Dr. Etenesh Tadese,Male,Existential Psychotherapy,['English'],"['Friday', 'Thursday', 'Saturday', 'Wednesday', 'Tuesday']","['Video', 'Audio']",16,"['Somatic Complaints', 'Sleep Disorders', 'Self-Esteem Issues']"
216,Dr. Mekonnen Abebe,Female,Mindfulness-Based Cognitive Therapy (MBCT),['Tigrinya'],"['Monday', 'Saturday', 'Thursday', 'Wednesday', 'Friday']","['Video', 'Audio']",6,"['Interpersonal Violence', 'Suicidal Ideation', 'Substance Use']"
217,Dr. Yeshiwork Taye,Male,Acceptance and Commitment Therapy (ACT),['Oromo'],"['Friday', 'Saturday', 'Wednesday', 'Tuesday', 'Monday']","['Video', 'Audio']",17,"['Test Anxiety', 'Adjustment Disorders', 'PTSD']"
218,Dr. Asmamaw Gebre,Female,Integrative Counselling,['Oromo'],"['Saturday', 'Tuesday', 'Thursday', 'Sunday', 'Wednesday']","['Audio', 'Video']",17,"['BPD', 'Self-Esteem Issues', 'BPD']"
219,Dr. Tigist Alebachew,Male,Solution-Focused Brief Therapy (SFBT),['English'],"['Saturday', 'Monday', 'Thursday', 'Sunday', 'Tuesday']","['Audio', 'Video']",2,"['ADHD', 'Eating Disorders', 'Adjustment Disorders']"
221,Dr. Haimanot Mekuria,Male,Humanistic Therapy,['Tigrinya'],"['Sunday', 'Monday', 'Tuesday', 'Friday', 'Thursday']","['Video', 'Audio']",9,"['BPD', 'Self-Esteem Issues', 'Trauma']"
222,Dr. Getahun Tsegaye,Female,Adlerian Therapy,['Tigrinya'],"['Saturday', 'Friday', 'Tuesday', 'Monday', 'Sunday']","['Audio', 'Video']",17,"['Sleep Disorders', 'Academic Burnout', 'Suicidal Ideation']"
223,Dr. Yemilework Desta,Female,Gestalt Therapy,['Tigrinya'],"['Monday', 'Friday', 'Saturday', 'Tuesday', 'Wednesday']","['Video', 'Audio']",8,"['Adjustment Disorders', 'Adjustment Disorders', 'Eating Disorders']"
224,Dr. Fasil Alemu,Female,Cognitive Therapy,['Amharic'],"['Sunday', 'Monday', 'Saturday', 'Friday', 'Thursday']","['Video', 'Audio']",18,"['Anxiety', 'Relationships', 'Eating Disorders']"
225,Dr. Azalech Berhanu,Female,Adlerian Therapy,['English'],"['Monday', 'Thursday', 'Friday', 'Wednesday', 'Sunday']","['Audio', 'Video']",8,"['Loneliness', 'Mood Disorders', 'Sleep Disorders']"
226,Dr. Aklilu Teshome,Female,Cognitive Therapy,['Oromo'],"['Sunday', 'Wednesday', 'Friday', 'Thursday', 'Saturday']","['Audio', 'Video']",11,"['Trauma', 'Test Anxiety', 'Anxiety']"
227,Dr. Woyinshet Kebede,Male,Existential Psychotherapy,['Tigrinya'],"['Wednesday', 'Thursday', 'Monday', 'Friday', 'Sunday']","['Audio', 'Video']",11,"['Family Conflict', 'Depression', 'Family Conflict']"
228,Dr. Mengistu Bekele,Female,Acceptance and Commitment Therapy (ACT),['Tigrinya'],"['Monday', 'Thursday', 'Saturday', 'Friday', 'Tuesday']","['Audio', 'Video']",12,"['Depression', 'Relationships', 'Anxiety']"
229,Dr. Tsehay Tadese,Female,Gestalt Therapy,['Amharic'],"['Monday', 'Thursday', 'Sunday', 'Wednesday', 'Friday']","['Video', 'Audio']",14,"['Somatic Complaints', 'Cultural Identity Stress', 'Sleep Disorders']"
230,Dr. Nebiyu Gebre,Male,Existential Psychotherapy,['Oromo'],"['Monday', 'Sunday', 'Thursday', 'Saturday', 'Wednesday']","['Audio', 'Video']",1,"['Mood Disorders', 'Cultural Identity Stress', 'Anxiety']"
231,Dr. Belaynesh Alemu,Male,Psychoanalysis,['Tigrinya'],"['Tuesday', 'Thursday', 'Saturday', 'Sunday', 'Monday']","['Video', 'Audio']",12,"['Somatic Complaints', 'Cultural Identity Stress', 'ADHD']"
232,Dr. Tadesse Berihun,Male,Dialectical Behavior Therapy (DBT),['English'],"['Tuesday', 'Monday', 'Saturday', 'Wednesday', 'Sunday']","['Audio', 'Video']",12,"['Family Conflict', 'Stress', 'Eating Disorders']"
233,Dr. Roman Tsegaye,Male,Jungian Therapy,['English'],"['Friday', 'Monday', 'Saturday', 'Sunday', 'Tuesday']","['Video', 'Audio']",10,"['Panic Disorders', 'OCD', 'Somatic Complaints']"
234,Dr. Mesfin Abebe,Female,Interpersonal Psychotherapy (IPT),['Amharic'],"['Monday', 'Wednesday', 'Sunday', 'Saturday', 'Friday']","['Video', 'Audio']",13,"['Suicidal Ideation', 'Anxiety', 'Interpersonal Violence']"
235,Dr. Tsehaynesh Mekonnen,Female,Schema Therapy,['English'],"['Wednesday', 'Monday', 'Tuesday', 'Sunday', 'Friday']","['Video', 'Audio']",11,"['Panic Disorders', 'Adjustment Disorders', 'Cultural Identity Stress']"
236,Dr. Yitbarek Bekele,Female,Mindfulness-Based Cognitive Therapy (MBCT),['Oromo'],"['Wednesday', 'Sunday', 'Saturday', 'Monday', 'Friday']","['Audio', 'Video']",3,"['Somatic Complaints', 'Depression', 'PTSD']"
